model_name,config,processed_tokens,max_cache_tokens,log_ppl,perplexity,next_token_accuracy,cache_mb,memory_saved_mb,memory_saved_percent,elapsed_seconds
Qwen/Qwen2.5-3B-Instruct,no_compression,512,2000,2.153732303529978,8.616959562860703,0.576171875,18.0,0.0,0.0,4.072214184999893
Qwen/Qwen2.5-3B-Instruct,no_compression,1024,2000,1.8791062338277698,6.547650177984858,0.6162109375,36.0,0.0,0.0,7.262545516000046
Qwen/Qwen2.5-3B-Instruct,no_compression,1536,2000,1.8087242900704343,6.102657243834072,0.6263020833333334,54.0,0.0,0.0,10.564683953999975
Qwen/Qwen2.5-3B-Instruct,no_compression,2048,2000,1.9263983152341098,6.86474102972204,0.58984375,72.0,0.0,0.0,13.97326849000001
Qwen/Qwen2.5-3B-Instruct,no_compression,2560,2000,1.945465693436563,6.996889501959118,0.577734375,90.0,0.0,0.0,17.512092517999918
Qwen/Qwen2.5-3B-Instruct,no_compression,3072,2000,1.9962066379375756,7.361079829454739,0.5654296875,108.0,0.0,0.0,21.17398025600005
Qwen/Qwen2.5-3B-Instruct,no_compression,3584,2000,2.024084928179426,7.569181429987198,0.5532924107142857,126.0,0.0,0.0,24.947910539000077
Qwen/Qwen2.5-3B-Instruct,no_compression,4096,2000,2.0560324931284413,7.814902541735525,0.546875,144.0,0.0,0.0,28.834836245999895
Qwen/Qwen2.5-3B-Instruct,no_compression,4608,2000,2.1059937248420386,8.215262665292434,0.5418836805555556,162.0,0.0,0.0,32.837256471000046
Qwen/Qwen2.5-3B-Instruct,no_compression,5120,2000,2.147137979697436,8.560323484606931,0.53125,180.0,0.0,0.0,36.960260141999925
Qwen/Qwen2.5-3B-Instruct,no_compression,5632,2000,2.147796013392508,8.565958319652855,0.5308948863636364,198.0,0.0,0.0,41.2032852750001
Qwen/Qwen2.5-3B-Instruct,no_compression,6144,2000,2.1538142924352237,8.61766608690498,0.53076171875,216.0,0.0,0.0,45.56806745099993
Qwen/Qwen2.5-3B-Instruct,no_compression,6656,2000,2.177039901439387,8.8201590385643,0.5268930288461539,234.0,0.0,0.0,50.05877743700012
Qwen/Qwen2.5-3B-Instruct,no_compression,7168,2000,2.168957789228963,8.749160817764205,0.5283203125,252.0,0.0,0.0,54.684664916999964
Qwen/Qwen2.5-3B-Instruct,no_compression,7680,2000,2.155445474634568,8.631734541412722,0.53125,270.0,0.0,0.0,59.45483438700012
Qwen/Qwen2.5-3B-Instruct,no_compression,8192,2000,2.166270871879533,8.725684099894504,0.529541015625,288.0,0.0,0.0,64.3879941539999
Qwen/Qwen2.5-3B-Instruct,low_l2,512,2000,2.153732303529978,8.616959562860703,0.576171875,18.0,0.0,0.0,3.2106378789999326
Qwen/Qwen2.5-3B-Instruct,low_l2,1024,2000,1.8791062338277698,6.547650177984858,0.6162109375,36.0,0.0,0.0,6.531213160999869
Qwen/Qwen2.5-3B-Instruct,low_l2,1536,2000,1.8087242900704343,6.102657243834072,0.6263020833333334,54.0,0.0,0.0,9.971518049999986
Qwen/Qwen2.5-3B-Instruct,low_l2,2048,2000,1.9262758388649672,6.863900312650654,0.59033203125,70.3125,1.6875,2.34375,13.661425372999929
Qwen/Qwen2.5-3B-Instruct,low_l2,2560,2000,1.9502435019239783,7.030399287931767,0.576171875,70.3125,19.6875,21.875,17.355061561999946
Qwen/Qwen2.5-3B-Instruct,low_l2,3072,2000,2.010187224019319,7.464714790403785,0.560546875,70.3125,37.6875,34.895833333333336,21.055565791999925
Qwen/Qwen2.5-3B-Instruct,low_l2,3584,2000,2.0591253833845258,7.83911059478702,0.5446428571428571,70.3125,55.6875,44.19642857142857,24.77550657300003
Qwen/Qwen2.5-3B-Instruct,low_l2,4096,2000,2.106182382791303,8.216812686106813,0.5390625,70.3125,73.6875,51.171875,28.506382510999856
Qwen/Qwen2.5-3B-Instruct,low_l2,4608,2000,2.181287632530762,8.857704387162343,0.5288628472222222,70.3125,91.6875,56.59722222222222,32.241297011999904
Qwen/Qwen2.5-3B-Instruct,low_l2,5120,2000,2.238976341765374,9.38372064636499,0.515625,70.3125,109.6875,60.9375,35.9915988109999
Qwen/Qwen2.5-3B-Instruct,low_l2,5632,2000,2.2600939642129974,9.583989676503199,0.5126065340909091,70.3125,127.6875,64.48863636363636,39.7628795359999
